input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-30,FEASIBLE,38,300.143902,,"[23, 20, 34, 30, 23, 26, 34, 34, 27, 20, 12, 27, 20, 17, 33, 13, 23, 29, 33, 23, 30, 17, 15, 12, 15, 12, 0]","[13, 13, 13, 8, 0, 0, 29, 18, 9, 0, 0, 21, 17, 14, 10, 34, 8, 2, 0, 16, 14, 35, 10, 28, 0, 14, 0]",
ins-31,OPTIMAL,38,2.856858,,"[24, 31, 24, 35, 31, 35, 24, 24, 24, 35, 27, 34, 34, 27, 27, 31, 31, 27, 0]","[11, 0, 14, 11, 4, 30, 19, 28, 0, 17, 35, 0, 5, 27, 16, 11, 23, 0, 0]",
ins-32,FEASIBLE,41,300.260745,,"[36, 31, 20, 23, 19, 15, 19, 36, 36, 31, 27, 27, 27, 32, 18, 22, 15, 22, 15, 21, 34, 15, 31, 22, 31, 26, 34, 26, 0]","[10, 27, 36, 35, 3, 12, 27, 0, 30, 12, 11, 14, 18, 6, 12, 3, 0, 20, 25, 0, 13, 20, 0, 12, 31, 0, 17, 23, 0]",
ins-33,OPTIMAL,40,99.127406,,"[37, 37, 34, 34, 37, 34, 34, 37, 34, 37, 31, 27, 22, 22, 26, 22, 26, 26, 26, 0]","[27, 23, 6, 0, 16, 23, 31, 30, 11, 0, 0, 36, 22, 0, 0, 36, 16, 24, 3, 0]",
ins-34,FEASIBLE,42,300.201532,,"[12, 9, 2, 11, 8, 12, 0, 5, 7, 0, 4, 13, 11, 6, 6, 0, 4, 4, 7, 6, 0, 11, 11, 4, 9]","[24, 26, 28, 15, 11, 35, 26, 0, 0, 13, 21, 13, 22, 25, 36, 37, 15, 24, 38, 39, 0, 1, 0, 37, 20]",
ins-35,FEASIBLE,41,300.171045,,"[13, 6, 4, 11, 10, 4, 10, 9, 4, 10, 12, 6, 10, 6, 13, 2, 0, 11, 0, 4, 11, 0, 6, 13, 4]","[11, 27, 13, 3, 31, 6, 5, 23, 23, 23, 40, 0, 9, 29, 22, 39, 27, 12, 38, 28, 0, 0, 5, 28, 0]",
ins-36,FEASIBLE,41,300.155340,,"[0, 0, 9, 2, 10, 13, 13, 10, 6, 9, 7, 9, 10, 13, 12, 12, 12, 0, 7, 0, 7, 6, 6, 3, 3]","[0, 12, 19, 35, 17, 0, 6, 12, 19, 26, 0, 32, 20, 25, 13, 28, 23, 19, 12, 37, 17, 31, 22, 20, 36]",
ins-37,FEASIBLE,63,300.251208,,"[0, 25, 22, 22, 0, 3, 10, 5, 0, 22, 19, 10, 10, 15, 1, 21, 5, 5, 19, 0, 21, 26, 0, 13, 25, 14, 2, 0]","[39, 46, 22, 18, 0, 21, 32, 49, 30, 0, 0, 46, 28, 0, 34, 36, 28, 46, 21, 21, 42, 60, 46, 0, 0, 7, 46, 26]",
ins-38,FEASIBLE,61,300.211976,,"[0, 21, 20, 15, 0, 7, 19, 0, 6, 21, 0, 19, 15, 1, 15, 8, 0, 27, 15, 6, 19, 19, 15, 21, 4, 7, 27, 23, 10]","[32, 40, 20, 12, 50, 26, 16, 51, 49, 0, 0, 11, 10, 56, 35, 49, 19, 5, 0, 33, 20, 27, 37, 52, 50, 21, 0, 27, 0]",
ins-39,FEASIBLE,62,300.235239,,"[0, 3, 20, 3, 26, 26, 29, 9, 9, 0, 15, 14, 0, 13, 24, 18, 18, 12, 12, 18, 12, 20, 10, 18, 0, 27, 12, 15]","[0, 41, 51, 24, 22, 0, 49, 0, 5, 43, 57, 3, 49, 8, 22, 45, 0, 36, 22, 47, 0, 36, 0, 49, 25, 8, 45, 45]",
ins-40,FEASIBLE,117,300.897031,,"[26, 26, 39, 28, 6, 33, 18, 3, 12, 16, 16, 33, 39, 12, 48, 25, 14, 44, 44, 0, 41, 0, 3, 53, 12, 28, 39, 54, 0, 46, 0, 0, 0, 11, 0, 3, 23, 0, 49, 33, 18, 0, 32, 14, 0, 0, 37, 50, 21, 57, 18, 33, 39, 33, 54, 33, 55, 0, 45, 39, 38, 25, 26, 31, 49, 38, 16, 57, 28, 25, 57, 31, 0]","[42, 19, 112, 104, 81, 59, 51, 22, 66, 81, 35, 94, 5, 93, 50, 14, 34, 66, 99, 68, 8, 42, 19, 23, 116, 22, 17, 112, 109, 17, 14, 98, 103, 17, 29, 66, 98, 17, 28, 0, 29, 0, 100, 105, 48, 95, 23, 35, 14, 66, 48, 10, 76, 116, 8, 52, 48, 19, 76, 48, 107, 32, 105, 22, 0, 85, 108, 0, 102, 48, 35, 48, 86]",
