input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-28,FEASIBLE,36,300.135051,,"[14, 14, 26, 29, 29, 29, 29, 32, 22, 26, 32, 14, 31, 18, 14, 22, 18, 25, 22, 14, 18, 0]","[29, 32, 12, 16, 0, 28, 7, 26, 0, 17, 0, 6, 22, 31, 0, 29, 0, 0, 12, 9, 8, 0]",
ins-29,OPTIMAL,36,29.172508,,"[18, 12, 26, 33, 26, 12, 26, 23, 23, 23, 29, 26, 33, 12, 15, 32, 32, 29, 21, 18, 18, 18, 0]","[33, 24, 31, 16, 24, 28, 15, 23, 12, 0, 22, 0, 0, 0, 0, 33, 22, 0, 33, 0, 19, 4, 0]",
ins-30,FEASIBLE,38,300.180768,,"[19, 31, 34, 24, 12, 24, 31, 12, 34, 27, 12, 24, 31, 34, 30, 30, 17, 20, 20, 15, 27, 22, 22, 12, 15, 19, 0]","[5, 0, 21, 32, 6, 7, 11, 27, 26, 0, 13, 15, 20, 0, 4, 7, 0, 32, 22, 6, 14, 0, 3, 0, 28, 8, 0]",
ins-31,OPTIMAL,38,17.141340,,"[24, 27, 24, 31, 27, 24, 24, 27, 27, 24, 30, 30, 27, 30, 34, 34, 34, 30, 0]","[0, 7, 33, 32, 0, 3, 24, 22, 11, 11, 5, 0, 32, 24, 27, 0, 12, 8, 0]",
ins-32,FEASIBLE,41,300.239119,,"[15, 26, 23, 31, 20, 31, 15, 15, 18, 23, 35, 15, 22, 18, 19, 19, 15, 35, 31, 15, 26, 24, 26, 34, 21, 29, 34, 26, 0]","[38, 37, 36, 16, 17, 22, 0, 9, 6, 16, 25, 22, 0, 0, 24, 32, 26, 0, 0, 19, 18, 31, 24, 17, 6, 30, 28, 0, 0]",
ins-33,OPTIMAL,40,274.398379,,"[29, 34, 26, 31, 31, 29, 34, 26, 26, 29, 37, 22, 22, 22, 32, 32, 32, 32, 26, 0]","[13, 0, 13, 0, 6, 16, 4, 18, 28, 24, 0, 36, 0, 14, 13, 24, 16, 28, 0, 0]",
ins-34,FEASIBLE,42,300.250737,,"[3, 0, 8, 5, 0, 0, 13, 5, 7, 7, 5, 10, 13, 12, 5, 11, 3, 11, 13, 6, 0, 11, 6, 3, 3]","[25, 13, 5, 3, 26, 35, 12, 12, 14, 29, 0, 0, 28, 0, 10, 23, 36, 11, 11, 25, 0, 30, 28, 20, 13]",
ins-35,FEASIBLE,41,300.124827,,"[4, 0, 4, 4, 10, 4, 10, 8, 10, 6, 0, 4, 9, 11, 2, 11, 11, 9, 8, 0, 11, 0, 6, 9, 2]","[12, 27, 31, 23, 18, 5, 14, 25, 0, 5, 26, 0, 0, 6, 29, 4, 27, 4, 22, 30, 38, 0, 14, 27, 35]",
ins-36,FEASIBLE,41,300.128458,,"[0, 7, 14, 3, 10, 0, 2, 10, 14, 2, 9, 9, 4, 0, 6, 6, 6, 3, 6, 7, 10, 12, 7, 0, 6]","[0, 0, 0, 29, 29, 12, 34, 24, 19, 12, 7, 32, 29, 34, 12, 27, 22, 12, 31, 8, 19, 22, 22, 18, 36]",
ins-37,FEASIBLE,62,300.228659,,"[0, 25, 17, 7, 0, 19, 19, 9, 4, 16, 8, 19, 19, 0, 0, 20, 0, 0, 4, 16, 13, 15, 5, 7, 14, 11, 5, 27]","[30, 0, 0, 36, 0, 32, 14, 21, 21, 39, 41, 39, 28, 37, 21, 56, 44, 26, 37, 57, 0, 36, 25, 30, 18, 41, 44, 58]",
ins-38,FEASIBLE,62,300.173937,,"[17, 11, 13, 6, 7, 0, 19, 10, 8, 6, 0, 19, 26, 23, 0, 10, 10, 19, 0, 16, 7, 12, 0, 10, 13, 17, 16, 23, 25]","[38, 9, 9, 32, 19, 55, 5, 57, 55, 21, 0, 0, 35, 9, 53, 32, 44, 56, 19, 16, 55, 22, 29, 0, 16, 32, 57, 37, 14]",
ins-39,FEASIBLE,62,300.214640,,"[0, 3, 12, 21, 26, 9, 22, 15, 17, 0, 12, 18, 0, 16, 0, 24, 18, 13, 5, 18, 5, 12, 15, 21, 23, 2, 9, 12]","[0, 24, 9, 43, 0, 0, 13, 38, 43, 24, 43, 24, 32, 29, 48, 0, 21, 0, 48, 60, 45, 20, 43, 0, 2, 48, 8, 29]",
ins-40,FEASIBLE,113,300.839295,,"[23, 28, 47, 0, 31, 36, 38, 35, 0, 10, 0, 0, 23, 2, 45, 0, 56, 2, 29, 17, 48, 6, 10, 31, 0, 0, 50, 17, 17, 46, 41, 1, 46, 0, 32, 17, 57, 12, 37, 25, 36, 0, 23, 17, 44, 33, 0, 50, 34, 38, 48, 48, 54, 25, 29, 12, 36, 17, 44, 51, 20, 41, 34, 46, 38, 25, 0, 9, 23, 41, 57, 26, 44]","[107, 104, 73, 49, 44, 30, 4, 97, 83, 49, 42, 77, 27, 37, 42, 14, 78, 61, 14, 70, 11, 64, 61, 56, 112, 61, 21, 30, 42, 67, 104, 98, 36, 71, 64, 102, 60, 35, 20, 84, 38, 0, 98, 61, 79, 1, 19, 0, 61, 0, 4, 27, 0, 83, 81, 28, 77, 104, 11, 42, 102, 77, 30, 0, 61, 30, 103, 14, 25, 79, 106, 39, 30]",
