input_name,status,height,solve_time,rotation,coords_x,coords_y,configuration
ins-27,OPTIMAL,34.0,123.989,,"[0, 31, 18, 0, 18, 18, 31, 15, 15, 24, 15, 18, 31, 24, 0, 21, 27, 27, 27, 27, 3]","[0, 0, 21, 28, 14, 26, 4, 13, 23, 0, 0, 0, 13, 12, 3, 0, 30, 25, 14, 0, 0]",
ins-28,OPTIMAL,35.0,171.933,,"[7, 7, 32, 4, 4, 32, 7, 32, 32, 7, 4, 10, 10, 14, 14, 14, 10, 0, 14, 10, 0, 18]","[0, 3, 0, 22, 28, 17, 26, 25, 5, 7, 0, 0, 23, 24, 29, 17, 27, 23, 0, 3, 0, 0]",
ins-29,OPTIMAL,36.0,206.318,,"[4, 4, 4, 13, 28, 4, 13, 13, 13, 10, 28, 28, 4, 10, 7, 0, 0, 0, 31, 31, 31, 31, 16]","[4, 0, 7, 21, 0, 12, 27, 11, 0, 24, 7, 21, 20, 0, 0, 33, 22, 0, 0, 32, 3, 17, 0]",
ins-30,NO_SOLUTION_FOUND,,300,,,,
ins-31,OPTIMAL,38.0,191.572,,"[0, 3, 0, 0, 3, 3, 3, 3, 0, 0, 10, 6, 6, 10, 6, 10, 10, 6, 14]","[30, 26, 33, 24, 0, 30, 7, 16, 13, 0, 15, 6, 0, 30, 11, 18, 0, 22, 0]",
ins-32,NO_SOLUTION_FOUND,,300,,,,
ins-33,OPTIMAL,40.0,248.257,,"[32, 22, 37, 32, 37, 22, 32, 32, 22, 22, 25, 28, 28, 28, 35, 35, 35, 32, 35, 0]","[27, 36, 15, 0, 20, 0, 6, 30, 24, 8, 0, 36, 0, 14, 4, 0, 7, 15, 27, 0]",
ins-34,OPTIMAL,40.0,57.23779999999999,,"[10, 2, 8, 0, 5, 7, 0, 13, 7, 7, 10, 0, 0, 2, 10, 11, 11, 5, 0, 0, 2, 11, 11, 0, 5]","[5, 14, 0, 33, 0, 9, 22, 3, 16, 27, 0, 4, 15, 3, 3, 16, 21, 9, 3, 0, 27, 27, 39, 17, 21]",
ins-35,OPTIMAL,40.0,87.1163,,"[9, 5, 0, 0, 4, 6, 5, 4, 4, 8, 8, 6, 14, 0, 9, 0, 11, 7, 12, 4, 6, 11, 0, 10, 9]","[29, 15, 30, 20, 17, 8, 11, 11, 26, 8, 16, 3, 0, 8, 17, 28, 29, 30, 0, 0, 0, 3, 0, 0, 23]",
ins-36,OPTIMAL,40.0,53.16390000000001,,"[5, 2, 0, 5, 0, 12, 1, 12, 5, 14, 6, 3, 3, 3, 12, 5, 14, 0, 12, 0, 3, 0, 12, 9, 12]","[12, 33, 16, 3, 37, 14, 16, 20, 0, 19, 0, 24, 12, 0, 30, 8, 14, 0, 0, 33, 7, 23, 5, 24, 25]",
ins-37,NO_SOLUTION_FOUND,,300,,,,
ins-38,NO_SOLUTION_FOUND,,300,,,,
ins-39,NO_SOLUTION_FOUND,,300,,,,
ins-40,NO_SOLUTION_FOUND,,300,,,,
